250,0.08,-155.0843345699,124.8969683676
500,0.06,-149.6230980517,112.9646604856
750,0.58,43.2087959915,184.6766670577
1000,0.72,102.2771565399,148.1302295476
1250,0.78,129.0951014587,133.671771276
1500,0.84,140.2380079815,135.8632042451
1750,0.82,125.4321406225,154.5395316608
2000,0.66,75.6034716771,178.0076932727
2250,0.78,106.7054926472,173.4634665151
2500,0.84,133.8855316923,145.2122819545
2750,0.82,126.3349789639,151.6779614233
3000,0.76,101.1828560529,165.9946364146
3250,0.64,54.0961775353,182.0808575437
3500,0.82,123.4300986987,150.8274147882
3750,0.84,128.5506314714,158.1344527682
4000,0.88,143.0518842692,148.88219338
4250,0.8,117.3583356133,159.1592585187
4500,0.82,137.4476882621,128.5885328143
4750,0.8,122.2502902602,155.3594954874
5000,0.66,71.8607828255,180.4041040821
5250,0.8,125.0284719612,147.8047284875
5500,0.84,139.8112993164,127.5414873611
5750,0.8,119.7351255762,146.6151124928
6000,0.76,108.8906816559,161.7896869738
6250,0.84,127.446192014,164.5090284419
6500,0.94,173.0682605513,80.7636745669
6750,0.78,105.3825804716,155.3118740458
7000,0.78,98.2205396945,167.0608888017
7250,0.88,142.9159507457,121.7533606453
7500,0.9,154.0388,118.4287507768
7750,0.86,134.1767676271,158.0813111879
8000,0.76,85.4228337074,157.6188603843
8250,0.88,151.5161899515,121.8335684634
8500,0.94,167.41584207,108.9056892651
8750,0.9,155.1131850439,132.1958993091
9000,0.9,160.5537660865,111.5420455814
9250,0.9,158.7853443992,112.171914874
9500,0.9,154.1420536241,111.7789450948
9750,0.96,181.4583300339,74.8717923249
10000,0.94,169.8266386285,116.1969066106
