250,0,-198.6695843217,1.3667293701
500,0,-198.9965709449,1.1417997312
750,0.36,-50.9642108194,185.583249353
1000,0.56,28.487588936,176.2954544111
1250,0.78,112.7231019183,142.0007275069
1500,0.58,32.6749875567,188.938028951
1750,0.58,24.6089526247,181.3795615566
2000,0.7,60.3690688767,172.1684756699
2250,0.62,31.0180768499,182.6840417655
2500,0.8,107.0709460847,151.8174611224
2750,0.84,138.9767266404,131.4312247477
3000,0.82,127.17922151,147.5106685795
3250,0.82,119.2157018845,154.3937661505
3500,0.68,46.6466279817,172.8859751953
3750,0.88,153.2810491208,111.6087431593
4000,0.9,152.0349442313,107.9554308876
4250,0.84,123.8955521177,174.3595770145
4500,0.74,102.2902560925,160.4701062181
4750,0.84,134.7458334595,137.3602946248
5000,0.86,131.5606759957,135.177898595
5250,0.86,142.1670872542,117.2251736621
5500,0.86,141.7680393755,141.264622303
5750,0.9,156.4679308821,109.0842164827
6000,0.88,149.53257401,117.8465512287
6250,0.98,179.9467878954,61.2710297336
6500,0.88,145.770709591,125.7060332153
6750,0.8,120.5556390199,145.753196493
7000,0.88,148.3781628977,125.6964715869
7250,0.96,179.4603552446,77.7970268578
7500,0.92,152.6018682103,112.0742116753
7750,0.9,149.1883692507,119.4288615651
8000,0.9,149.2417172666,120.7555068201
8250,0.84,126.309861073,142.9966121199
8500,0.78,109.0450834137,160.5346804671
8750,0.88,151.8402462269,122.6594929767
9000,0.82,128.5991513748,144.2274599142
9250,0.84,133.7110488806,140.6313406331
9500,0.76,101.8467594937,175.5289445348
9750,0.8,122.4936876882,146.2636733998
10000,0.88,148.3916865009,133.4033908833
